Mete_SPI_DPRK,Mete_SPI_ROK,Agri_CSIF_DPRK,Agri_CSIF_ROK
-1.009054273,-1.572535543,1.579804182,3.54050231
-1.013428628,-1.56710695,4.058112621,-1.469066024
-1.010908296,-1.572216597,4.13361454,-1.507732391
-1.007721485,-1.579283152,4.938001156,-3.671956778
-1.007679456,-1.579827982,5.393389225,3.270044565
-1.00636914,-0.637247866,6.586589813,0.83951509
-1.005307233,-1.579873152,4.249227047,-3.53662467
-1.014312506,-1.577147988,7.515979767,-0.744015813
-1.011079232,-1.582298988,-0.87664187,3.305217981
-1.007177365,-0.314269695,2.168773651,-1.038760781
-1.004408134,-1.569022399,3.684665918,3.168469906
-1.005744898,-1.583173596,6.893584251,-8.309383392
-1.01603868,-1.586807717,3.444041014,-0.25708577
-1.013030552,-0.295536122,0.353893131,-8.37094593
-1.01131303,-1.590057367,0.429152697,-6.986834526
-1.007917988,-1.594761789,2.675744057,4.310382366
-1.009377654,-1.597720534,1.266670346,7.857813358
-1.008921623,-0.296210495,3.320930719,3.615560055
-1.009095325,-0.495054081,8.402551651,0.801181912
-1.018978626,-0.722567213,20.77546501,4.342425823
-1.018398988,-0.752987134,3.666468859,2.899148941
-1.017541391,-1.587268968,5.20336628,-2.364198923
-1.016663797,-1.596266699,1.613050818,2.486647844
-1.015282944,-1.601581839,1.381003141,10.71274948
-1.014086618,-1.604514599,2.705824375,13.80745792
-1.015966058,-1.615993333,-2.985228539,7.142963409
-1.014058696,-1.616383988,2.316336393,4.577051163
-1.023259997,-0.305339963,7.364673138,-2.285013914
-1.017431206,-0.48060956,-2.469054937,2.637231588
-1.020833945,-0.601009821,2.813215256,2.886202335
-1.02273652,-0.622054015,3.149241686,1.210235238
-1.018272889,-0.721981758,2.359647989,3.830066919
-1.021398193,-0.752024792,0.804578304,-2.281226158
-1.019061923,-0.784574004,-4.455940247,0.708915472
-1.017641914,-0.823174959,-8.143133163,2.412888527
-1.01681149,-0.856915767,-4.329221725,-2.772464037
-1.021250582,-0.893283868,-1.249783278,5.428570747
-1.020289866,-1.013776302,1.872704625,0.629617035
-1.024752396,-1.577400184,1.063379407,5.5637393
-1.026399928,-1.606639377,3.872590303,-1.711776733
-1.023038146,-1.613473399,-1.878666639,11.59514999
-1.037221432,-0.177726759,1.409409761,-1.333157778
-1.02557299,-0.200184235,-1.607350707,-1.016153336
-1.021885365,-0.238118109,0.645158827,3.355520248
-1.026243043,-0.314850133,2.064609766,-2.491738796
-1.030208001,-0.429514204,1.580542445,-0.416984528
-1.032792077,-0.488872191,3.392904282,-1.195076942
-1.040998989,-0.519185019,6.780351162,-0.133621782
-1.04816121,-0.547893303,3.15522027,8.452531815
-1.172353208,-0.576919724,-5.697723389,6.108119011
-1.175280404,-0.605699942,-7.185575962,6.439379692
-1.05615831,-0.64988879,-3.24191165,5.038639545
-1.060372651,-0.720574141,-2.396870136,7.170281887
-1.062034905,-0.771977978,0.429874212,-1.26809299
-1.047444463,-0.784381705,1.540331006,-3.754673004
-1.175714822,-0.821571791,2.764045715,2.08038187
-1.090074658,-0.85527577,-0.76725924,2.680540323
-1.076258643,-0.892153333,-3.339151621,2.228271008
-1.180140495,-1.482829648,10.82687855,5.58475399
-1.100028765,-1.543951697,-7.867971897,7.298018456
-1.091014225,-1.560036272,-5.643661499,10.36657047
-1.082636368,-1.573634442,-5.114332199,5.719659328
-1.083727837,-1.584950018,1.936596036,-10.05169773
-1.187253118,-1.594327382,-6.476094723,-4.372387886
-1.184325874,-1.60361702,4.480998993,-0.889225245
-1.20301434,-1.611135138,-10.87248516,-1.420083284
-1.117052172,-1.619372717,-8.71076107,0.594811857
-1.104474976,-1.626598251,-8.302583694,4.39226675
-1.060160518,-1.639509063,4.953605652,-11.48689556
-1.191628492,-0.202594042,-5.764791965,-0.023602141
-1.203172684,-0.23879906,-7.890462875,-0.542453945
-1.206718807,-0.321124123,-15.7223711,-4.223340511
-1.138535875,-0.399705284,-6.186407089,4.775025368
-1.129406087,-0.442552896,-6.916796684,2.141358852
-1.117136444,-0.472550104,-7.157634258,2.222149372
-1.244399607,-0.557045814,-0.916397154,-4.18678236
-1.227156496,-0.583865088,-6.741729736,4.46833086
-1.210471374,-0.609611621,-16.77758217,15.21395874
-1.151584953,-0.754182122,-5.123517513,-4.035508156
-1.141782975,-0.782425157,-5.462753773,-0.976845026
-1.249105501,-0.819749659,-7.958836079,-2.627745152
-1.232538891,-0.856118537,-6.167003632,-0.355397165
-1.221618897,-0.883435505,-10.59375858,6.018871784
-1.205203295,-1.439859477,-4.96718359,3.69335413
-1.212934911,-1.467886847,-7.543414593,3.765757084
-1.213272616,-1.489401221,-11.59076118,5.045947075
-1.214244118,-1.509088755,-10.62031651,3.797431231
-1.217674553,-1.528834742,-24.12479401,7.810725212
-1.160693228,-1.546971142,-1.076230407,12.50001812
-1.155775487,-1.563507165,0.618461013,4.031927586
-1.127928495,-1.576638277,0.567281663,4.708432198
-1.125895033,-1.587585592,3.387673378,0.981706679
-1.250416998,-1.596469201,-2.240676641,7.800927639
-1.228792304,-1.604791241,-9.922772408,12.44063568
-1.206386793,-1.618925897,-1.042467594,2.366004229
-1.206666601,-1.625834935,-5.145043373,5.991449356
-1.207955837,-1.633802521,1.155812383,2.575109959
-1.214768595,-1.641655102,-11.48247719,1.090961576
-1.216969503,-1.566951454,-15.86837482,-10.9913702
-1.219477266,-1.558579491,-14.36680126,-10.55586433
-1.223484521,-1.543650677,-14.52789783,-1.582340956
-1.226985852,-0.320075989,-19.76215935,5.650292397
-1.161142294,-0.45716238,0.812976599,-4.645473957
-1.148445489,-0.485837498,-2.499320984,-5.268743992
-1.143915906,-0.538908795,4.483784676,-3.588328362
-1.143265724,-0.565060279,2.613362312,-2.010500431
-1.135078621,-0.580578977,1.850442529,-0.535779715
-1.132128587,-0.613994032,-0.951007307,-1.186299801
-1.130500461,-0.677171439,6.400174618,-0.355613053
-1.121574402,-0.690756822,6.695402622,1.429018378
-1.288342357,-0.79082588,-6.837170601,8.489955902
-1.272604858,-0.817571715,-8.652663231,4.737578869
-1.249769206,-0.854741958,-4.226085186,2.394979715
-1.243142948,-0.877893579,-16.73674202,8.887989998
-1.218543732,-0.955335706,-9.049106598,21.26629448
-1.210804776,-1.379038602,0.923300982,9.08817482
-1.210237598,-1.396670985,1.733550549,8.111198425
-1.210620499,-1.441962975,0.274372846,15.73480988
-1.214729232,-1.468432581,-8.646238327,8.992984772
-1.212214121,-1.490067172,-15.12827301,9.953495979
-1.213442367,-1.510382652,-7.707395554,4.529669762
-1.218307937,-1.530304348,-8.72205925,12.03751183
-1.224054652,-1.548567671,-5.798879623,3.925956488
-1.227918155,-1.565201902,-3.90896225,5.203279018
-1.231191101,-1.577789366,-9.442575455,7.994208813
-1.235557419,-1.590280831,-8.531302452,4.390905857
-1.190783303,-1.635179609,-3.541873455,6.302111149
-1.181019932,-1.640978426,-6.035967827,2.171504974
-1.172069364,-1.649103606,-4.500859261,1.279333591
-1.160704561,-1.572091341,-1.126371861,-24.11323547
-1.153568029,-1.569994211,2.178576231,-12.58339405
-1.137614012,-1.556770474,1.352406144,-3.523141861
-1.290522516,-0.26548782,-7.859302521,7.887179375
-1.283644458,-0.519438856,-4.223273277,0.880339086
-1.27158679,-0.555170634,3.891838551,0.741122067
-1.25122081,-0.572872315,-5.002867699,4.893293858
-1.247231364,-0.578944677,-7.208509445,-7.514585018
-1.2207214,-0.693499262,-11.31753922,3.099553585
-1.206590652,-0.700237288,-1.911987782,1.577192068
-1.21077832,-0.816229403,-0.578662038,2.047420979
-1.21077832,-0.849502311,2.304196596,-0.105502345
-1.219646168,-0.893872435,-13.67786503,6.095313549
-1.221363783,-0.936319781,-6.514564991,6.775013447
-1.22029294,-1.002266204,-6.283798695,1.019823551
-1.22614522,-1.033402106,-2.623702765,-1.266888976
-1.231454859,-1.077671039,-1.983511567,-4.057969093
-1.235169747,-1.237312198,-1.346577287,-0.962329328
-1.240666924,-1.264941869,-7.657484531,1.218308568
-1.240822932,-1.307669183,-11.92436409,-4.086988449
-1.239746159,-1.337297361,-5.233266354,-1.578430057
-1.202386839,-1.373252255,-5.073331833,10.71873665
-1.193687433,-1.473006787,-7.553750038,12.03667641
-1.188337669,-1.510527909,-1.228084803,4.373625755
-1.284605551,-1.535164219,-2.814834356,5.864011765
-1.270137984,-1.550435934,-6.879034996,12.22428417
-1.228896916,-1.567861924,-14.44668865,1.129320264
-1.228896916,-1.581101637,-7.229247093,2.107593298
-1.212194002,-1.595771492,-8.442387581,-6.752139091
-1.214668638,-1.60724256,5.162696838,-7.845005035
-1.226570308,-1.619797459,-17.53871918,0.13002716
-1.226291353,-1.641224608,-8.920649529,1.755638838
-1.231555259,-1.657297596,-5.531179428,2.967280626
-1.241580784,-1.596394062,0.45966351,-12.61698055
-1.24614532,-1.544313669,-0.429313332,1.989016771
-1.249947333,-1.530923724,-6.028594971,3.46551156
-1.249088556,-0.269474307,-6.856772423,3.873533249
-1.24802295,-0.306224872,-9.135092735,6.75699234
-1.243581647,-0.351357847,-12.46474075,3.432429075
-1.231122196,-0.373846552,-7.869417667,3.056144714
-1.224981332,-0.447877347,6.357486248,-0.177050322
-1.213020277,-0.449963015,-1.703466058,4.151826859
-1.203516424,-0.556707951,-8.793894768,2.147347689
-1.195354807,-0.579035261,-3.372295856,1.654396772
-1.188114649,-0.601355147,4.596161366,5.840220928
-1.161644554,-0.627887517,-5.639982224,14.07078934
-1.289223703,-0.649044585,-5.841878891,1.537697911
-1.277093617,-0.669319859,3.085481644,5.645687103
-1.205314204,-0.680775964,-9.685816765,4.540741444
-1.209425092,-0.892136395,-6.043323517,0.196061701
-1.212882673,-0.926491756,-16.49302483,5.686470509
-1.215458663,-0.964815945,-10.90767574,0.332518011
-1.216259599,-1.001486307,0.605361998,-3.798075199
-1.225512838,-1.039208484,-7.651736736,-3.490487337
-1.231373681,-1.078541956,-7.293262005,-2.453136444
-1.237311627,-1.238895988,-6.665564537,3.329734087
-1.24193055,-1.266846784,-8.737669945,-8.72337532
-1.252110107,-1.300337679,-4.703902245,1.793211818
-1.255257722,-1.337911129,-4.354482174,-0.931355834
-1.258536571,-1.37392751,-6.082352161,10.68492794
-1.256920962,-1.388936818,-6.89546442,7.805302143
-1.252184629,-1.445205927,-6.580537796,8.825907707
-1.250650423,-1.492446423,-11.73649406,6.240550518
-1.249590088,-1.538941288,-15.47669697,2.924059153
-1.246573434,-1.55230165,-19.01753807,9.064775467
